List,ID,Time,Word,Translation
Contributions,67108870.1,638689809703033189,"ターン制ゲーム; ターンせいゲーム",en: turn-based game
Contributions,67108869.1,638689809376265524,"ターン制; ターンせい",en: turn-based
Contributions,67108868.1,638689808973922657,"ターン制ストラテジー; ターンせいストラテジー",en: turn-based strategy
Contributions,67108867.1,638550864540361959,"海外移住; かいがいいじゅう","en: overseas immigration, overseas migration"
Contributions,67108866.1,638532663684798332,"西門; さいもん",en: western gate
Contributions,2667030.1,638532533449531859,"十二天, じゅうにてん","en: the twelve celestials, deities of the twelve directions (in Japanese Esoteric Buddhism)#noun;"
Contributions,67108865.1,638532531196551794,"風天; ふうてん",en: Vayu (one of the twelve deva guardians in Esoteric Buddhism)
Favorites,1405790,638688128185165400,"続く, つづく","to continue, to last, to go on, kestää, 지속되다, 계속되다, 延續, 延续, 持續, 持续, , to continue (without a break), to be unbroken, to occur again and again, to lead to, to connect to, to adjoin, to come after, to follow, to succeed, to rank next to, to hold out, to keep, jatkua, jatkoa seuraa, jatkuu, 계속하다, 계속될, 繼續, 继续, 未完成, 待续"
Favorites,1240530,638557806580749280,"玉, たま, 球, 珠, 弾","ball, sphere, globe, orb, pallo, 공, 구(球), 球, , bead (of sweat, dew, etc.), drop, droplet, ball (in sports), pile (of noodles, etc.), bullet, bulb (i.e. a light bulb), lens (of glasses, etc.), bead (of an abacus), ball (i.e. a testicle), gem, jewel (esp. spherical; sometimes used figuratively), pearl, female entertainer (e.g. a geisha), person (when commenting on their nature), character, item, funds or person used as part of a plot, egg, okonomiyaki, coin, precious, beautiful, excellent, kolikko, 동전(銅錢), 硬幣, 硬币, 銅錢, 铜钱"
Favorites,1441820,638547279199447020,"伝, つて, 伝手, ツテ","means of making contact, intermediary, go-between, , connections, influence, pull, good offices"
Favorites,1471310,638545518629715022,"破局, はきょく","catastrophe, cataclysm, 分手, , collapse (of a relationship), breakup, split (friends, lovers, etc.)"
Favorites,1263220,638544256513757233,"減食, げんしょく","cutting down on food intake, reducing rations, reducing allowance of food"
Favorites,1378550,638535571938701784,"生き甲斐, いきがい, 生きがい, 生甲斐","reason for living, something one lives for, purpose in life, raison d'être, 보람"
History,1472970,638692805215634227,"輩, やから, 族","party (of people), set (of people), clan, family, fellow"
History,1044310,638692800730256021,クラブ,"nightclub, kerho, yhdistys, seura, klubi, 클로버, 俱樂部, 俱乐部, , sports club, team, (golf) club, clubs (suit), risti, 클럽, 나이트 클럽, 동호회, 梅花, 黑梅花, 夜總會, 夜总会"
History,1104070,638692797494243760,ヒューマン,"human, human, 휴먼"
History,2638000,638691990125526461,"適合性, てきごうせい","compatibility, conformance, fitness, adaptability"
History,1583820,638690767285953108,"分明, ふんみょう, ぶんみょう, ぶんめい","clearness, clear understanding, 분명"
History,2027320,638689295596773756,"能天気, のうてんき, 能転気, 脳天気, ノー天気, ノーてんき","laid-back, carefree, easygoing, thoughtless, happy-go-lucky"
History,2822070,638686651428762969,"本領発揮, ほんりょうはっき","show one's real ability, illustration of the distinctive character of (something)"
History,2829028,638686017063134485,"じわじわ来る, じわじわくる","to begin to like something (one did not initially like), to gradually become enamoured with something, to have something grow on you"
History,2829027,638686017036066125,"じわる, ジワる","to begin to like something (one did not initially like), to gradually become enamoured with something, to have something grow on you"
History,2830040,638685607484680288,"暗夜, あんや, 闇夜",dark night
History,1575850,638685607414198979,"闇夜, やみよ, やみ夜","dark night, moonless night"
History,2739970,638681492059694839,"類義, るいぎ","synonymy, similar meaning"
History,1490230,638681483933761195,"病気, びょうき, 病氣","illness (usu. excluding minor ailments, e.g. common cold), disease, sickness, sairas, 병들다, 앓다, 병, 疾病, , bad habit, bad behaviour, weakness, failing, crazy, insane, disturbed, sick in the head, tauti, sairaus, 질병(疾病), 질병, 病, 病症, 患病期間, 患病期间, 病情, 病疾"
History,1367760,638679949576215560,"人材, じんざい, 人財","capable person, talented person, aines, 인재(人材), 人力资源, , human resources, personnel, 인적자원"
History,1495370,638678776099753364,"不倫, ふりん","adultery, impropriety, (an) affair, immorality, syrjähyppy, 불륜, 戀愛關係, 恋爱关系, 戀愛, 恋爱, , aviorikos, huorinteko, huoruus, haureus, uskottomuus, rakkausseikkailu, rakkausjuttu, rakkaussuhde, 간통(姦通), 불륜(不倫), 러브 어페어, 정사, 연애 사건, 불륜하다, 정부를 두다, 관계를 갖다, 바람을 피우다, 通姦, 通奸, 奸情, 姦淫, 奸淫, 私通, 外遇, 不倫之戀, 不伦之恋, 有外遇"
History,1211410,638678776067161514,"姦通, かんつう","adultery, aviorikos, huorinteko, huoruus, haureus, uskottomuus, 간통(姦通), 불륜(不倫), 通姦, 通奸, 奸情, 姦淫, 奸淫, 私通, 外遇, 不倫之戀, 不伦之恋, , 간통"
